2215, 21, 883, 56, 0
1850, 25, 810, 60, 0
2055, 22, 851, 57, 0
2350, 15, 910, 50, 0
2640, 18, 968, 53, 0
2175, 24, 875, 59, 0
2390, 23, 918, 58, 0
2720, 23, 984, 58, 0
2040, 19, 848, 54, 0
1815, 18, 803, 53, 0
2570, 15, 954, 50, 0
2245, 16, 889, 51, 0
503 , 11, 507, 41, 1
830 , 12, 696, 46, 1
870 , 16, 724, 50, 1
950 , 24, 780, 47, 1
760 , 31, 647, 50, 1
600 , 15, 535, 45, 1
790 , 34, 668, 42, 1
680 , 23, 591, 42, 1
700 , 25, 605, 44, 1
880 , 17, 731, 40, 1
860 , 15, 717, 49, 1
930 , 22, 766, 45, 1
1462, 31, 558, 74, 2
1393, 32, 512, 51, 2
1195, 32, 380, 65, 2
1069, 32, 296, 63, 2
1558, 27, 622, 66, 2
1654, 29, 686, 58, 2
1252, 27, 418, 44, 2
1183, 28, 372, 61, 2
1159, 32, 356, 53, 2
1078, 29, 302, 66, 2
1696, 31, 714, 72, 2
1378, 27, 502, 46, 2
1435, 28, 540, 65, 2
